"","objectid","beat","div","serv","name","calls_total","calls_percent","all_crime_total","all_crime_percent","p1_total","p1_percent","p2_total","p2_percent","total_ppl_stopped","ppl_percent","total_ppl_stopped_non_service","ppl_non_service_percent","total_stops","stops_percent","total_stops_nonservice","stops_nonservice_percent","total_stops_service","stops_service_percent","total_pop","white_per","black_per","asian_per","hisp_per","other_per","total_ppl_stopped.1","per_asian_stopped","per_black_stopped","per_hisp_stopped","per_mesa_stopped","per_mixed_stopped","per_nam_stopped","per_pi_stopped","per_white_stopped","crimes_per_stop","stops_per_crime","ppl_per_crime","stops_per_p1crime"
"0",3,935,"9","930","NORTH CITY",3452,0.2,229,0.2,149,0.2,80,0.1,691,0.2,691,0.2,627,0.2,584,0.2,43,0.1,9513,58.2,0.3,28.7,7.4,5.4,691,6.8,5.8,19.7,4.8,0.4,0,0.6,61.9,0.4,2.7,1.1,4.2
"1",7,0,"0","0","SAN DIEGO",5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,542,48.7,11.4,6.3,29.7,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",8,511,"5","510",NA,18803,1.3,1365,1,673,0.9,692,1.3,7881,2,7881,2,6840,2,6490,2.1,350,0.9,15907,34.5,13.4,6.3,42.5,3.2,7881,1.3,26.2,49.4,1.3,0.2,0.3,0.4,21.1,0.2,5,1.2,10.2
"3",9,722,"7","720","NESTOR",8774,0.6,893,0.7,481,0.6,412,0.8,2311,0.6,2311,0.6,2112,0.6,1871,0.6,241,0.6,14087,11.3,2.5,8.9,73.2,4.1,2311,2.3,10.5,66.9,0.5,0.3,0.2,1.7,17.5,0.4,2.4,1.1,4.4
"4",10,314,"3","310","BIRDLAND",6208,0.4,527,0.4,275,0.4,252,0.5,921,0.2,921,0.2,843,0.2,662,0.2,181,0.5,4027,46.4,6.5,7.7,30.6,8.8,921,6.9,20.4,27,3.7,1.2,0.3,0.8,39.6,0.6,1.6,1.1,3.1
"5",11,839,"8","830","CHEROKEE POINT",5229,0.4,540,0.4,332,0.4,208,0.4,1133,0.3,1133,0.3,967,0.3,774,0.3,193,0.5,5743,25.1,5.3,8.6,58.4,2.7,1133,3.3,28.4,48.4,1.2,0,0.3,0.6,17.8,0.6,1.8,1.2,2.9
"6",12,612,"6","610","LOMA PORTAL",5272,0.4,385,0.3,241,0.3,144,0.3,826,0.2,826,0.2,738,0.2,636,0.2,102,0.3,6038,71.3,2.5,6.3,13.9,5.9,826,3,13.3,17.4,1.1,0.8,0.4,0.8,63.1,0.5,1.9,1.1,3.1
"7",13,625,"6","620","OLD TOWN",8511,0.6,767,0.6,384,0.5,383,0.7,2594,0.7,2594,0.7,2165,0.6,1807,0.6,358,0.9,1255,63.9,9.1,5.1,18.7,3.2,2594,1.3,21.1,19.7,1.3,0.2,0.4,0.4,55.5,0.4,2.8,1.2,5.6
"8",14,714,"7","710","BORDER",4589,0.3,216,0.2,107,0.1,109,0.2,1618,0.4,1618,0.4,1470,0.4,1339,0.4,131,0.3,194,2.1,2.6,3.1,92.3,0,1618,1.1,5.4,68.4,1.7,0.2,0.2,0.1,22.9,0.1,6.8,1.1,13.7
"9",17,832,"8","830","TERALTA WEST",10189,0.7,740,0.6,394,0.5,346,0.6,3648,0.9,3648,0.9,3178,0.9,2750,0.9,428,1.1,5476,8.6,4.7,13.8,71,1.9,3648,8,30.5,40.6,2.1,0.4,0.1,0.6,17.7,0.2,4.3,1.1,8.1
"10",31,628,"6","620","MIDTOWN",6892,0.5,590,0.5,345,0.4,245,0.5,1058,0.3,1058,0.3,926,0.3,740,0.2,186,0.5,4830,67.8,5,5.9,17.1,4.3,1058,2.6,16.3,20.6,1.6,0.1,0.2,0.5,58.2,0.6,1.6,1.1,2.7
"11",32,121,"1","120","MISSION BEACH",14494,1,1470,1.1,930,1.2,540,1,8744,2.2,8744,2.2,6156,1.8,5776,1.9,380,1,324,79,1.2,2.5,12.3,4.9,8744,3.1,13.5,21.2,2.4,0.4,0.1,1,58.3,0.2,4.2,1.4,6.6
"12",35,624,"6","620","UNIVERSITY HEIGHTS",11862,0.8,1197,0.9,748,1,449,0.8,1953,0.5,1953,0.5,1667,0.5,1242,0.4,425,1.1,12772,57.9,5.1,6.5,25.3,5.3,1953,3.4,17.3,22.6,1.8,0.5,0.2,0.9,53.4,0.7,1.4,1.2,2.2
"13",39,123,"1","120","MISSION BAY",11481,0.8,923,0.7,544,0.7,379,0.7,4779,1.2,4779,1.2,3666,1.1,3430,1.1,236,0.6,3342,77.9,1.4,2.7,13,4.9,4779,2.7,12.4,23,3,0.2,0.1,0.9,57.7,0.3,4,1.3,6.7
"14",40,444,"4","440","MT HOPE",6037,0.4,573,0.4,331,0.4,242,0.5,1816,0.5,1816,0.5,1541,0.4,1395,0.5,146,0.4,6013,10.5,7.7,2.4,77.6,1.8,1816,3.3,26.9,56.8,0.7,0.2,0.4,0.9,10.8,0.4,2.7,1.2,4.7
"15",41,824,"8","820","TALMADGE",10307,0.7,1077,0.8,670,0.9,407,0.8,2632,0.7,2632,0.7,2352,0.7,1933,0.6,419,1.1,8387,42.8,9.2,12.4,32.7,2.9,2632,12.1,27.6,31.6,2.6,0.2,0.1,0.7,25.2,0.5,2.2,1.1,3.5
"16",42,114,"1","110","NORTH CLAIREMONT",11079,0.8,955,0.7,496,0.6,459,0.9,3534,0.9,3534,0.9,3274,1,2909,1,365,0.9,16373,54,2.1,13.3,26.4,4.2,3534,6.4,9.6,26.5,3.5,0.3,0.1,0.8,52.7,0.3,3.4,1.1,6.6
"17",43,838,"8","830","CORRIDOR",9738,0.7,879,0.7,480,0.6,399,0.7,2391,0.6,2391,0.6,2147,0.6,1748,0.6,399,1,7518,18.4,17,11.5,50.2,3,2391,5.2,27.6,45.1,1.3,0.5,0.1,0.5,19.8,0.4,2.4,1.1,4.5
"18",44,112,"1","110","CLAIREMONT MESA WEST",5517,0.4,455,0.3,245,0.3,210,0.4,1542,0.4,1542,0.4,1439,0.4,1304,0.4,135,0.3,12344,66.7,2.3,10.1,17,3.9,1542,5.3,7.8,22.4,3.6,0.4,0.1,0.8,59.7,0.3,3.2,1.1,5.9
"19",45,529,"5","520","PARK WEST",15618,1.1,1465,1.1,927,1.2,538,1,2786,0.7,2786,0.7,2480,0.7,2037,0.7,443,1.1,8583,70.6,3.6,7.1,15.4,3.4,2786,3.1,24.4,18.8,2.4,0.4,0.3,0.8,49.7,0.6,1.7,1.1,2.7
"20",46,621,"6","620","LINDA VISTA",13814,1,1436,1.1,755,1,681,1.3,5096,1.3,5096,1.3,4387,1.3,3907,1.3,480,1.2,27268,28.5,5.8,22.3,39.1,4.2,5096,8.4,13.8,39.3,2.8,0.4,0.1,0.7,34.5,0.3,3.1,1.2,5.8
"21",48,311,"3","310","SERRA MESA",21189,1.5,1802,1.4,1114,1.4,688,1.3,4265,1.1,4265,1.1,3914,1.1,3347,1.1,567,1.5,26514,49.6,7.2,17.7,18.6,6.8,4265,5.2,17.3,22.1,5.5,0.4,0.2,1.4,48,0.5,2.2,1.1,3.5
"22",50,825,"8","820","KENSINGTON",5360,0.4,497,0.4,325,0.4,172,0.3,1169,0.3,1169,0.3,1092,0.3,907,0.3,185,0.5,6362,61,7.6,5.9,19.6,5.8,1169,6.6,22.4,32.3,2.1,0.6,0.2,0.3,35.6,0.5,2.2,1.1,3.4
"23",51,246,"2","240","MIRAMAR RANCH NORTH",3493,0.2,300,0.2,191,0.2,109,0.2,344,0.1,344,0.1,315,0.1,243,0.1,72,0.2,15614,46.1,2.1,33.8,12.3,5.7,344,16,6.1,14.2,8.1,0.6,0.3,2,52.6,1,1,1.1,1.6
"24",59,9,"0","0","SAN DIEGO",1,0,2,0,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,281,13.5,5.3,21.7,48,11.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",60,439,"4","430","ALTA VISTA",951,0.1,55,0,34,0,21,0,130,0,130,0,124,0,99,0,25,0.1,2439,7.5,12.9,53.4,20.7,5.5,130,19.2,28.5,26.2,2.3,1.5,0,0.8,21.5,0.4,2.3,1,3.6
"26",63,614,"6","610","OCEAN BEACH",28826,2,2047,1.6,974,1.3,1073,2,10569,2.7,10569,2.7,8238,2.4,7283,2.4,955,2.5,10937,79.2,2.4,2.9,12.6,3,10569,1.4,8.3,13.7,0.9,0.3,0.3,0.5,74.7,0.2,4,1.3,8.5
"27",64,526,"5","520","CORTEZ",9410,0.7,797,0.6,482,0.6,315,0.6,1724,0.4,1724,0.4,1497,0.4,1281,0.4,216,0.6,530,61.9,4.2,8.1,23.6,2.3,1724,1.9,27.7,18.6,2.5,0.1,0.3,1.1,47.8,0.5,1.9,1.2,3.1
"28",66,443,"4","440","SHELLTOWN",3277,0.2,275,0.2,151,0.2,124,0.2,1099,0.3,1099,0.3,911,0.3,846,0.3,65,0.2,3833,2,3.2,4,90.8,0,1099,1.5,22.3,67.6,0.6,0.4,0.1,0.5,7,0.3,3.3,1.2,6
"29",67,931,"9","930","SORRENTO VALLEY",12950,0.9,719,0.5,493,0.6,226,0.4,4407,1.1,4407,1.1,4171,1.2,4061,1.3,110,0.3,9129,38.1,1.4,47.3,7.8,5.5,4407,17.6,9.1,24.1,7.6,0.6,0.1,0.9,40,0.2,5.8,1.1,8.5
"30",69,828,"8","820","FOX CANYON",2861,0.2,193,0.1,113,0.1,80,0.1,519,0.1,519,0.1,452,0.1,352,0.1,100,0.3,2533,10.8,22.5,10.7,54,2,519,14.6,32,38,1.7,0.4,0.6,0.8,11.9,0.4,2.3,1.1,4
"31",70,452,"4","430","O'FARRELL",4840,0.3,337,0.3,144,0.2,193,0.4,882,0.2,882,0.2,777,0.2,658,0.2,119,0.3,6857,8.9,17.9,34.9,33.1,5.1,882,8.6,43.1,31.6,1.1,0.6,0,2.2,12.8,0.4,2.3,1.1,5.4
"32",77,523,"5","520","GASLAMP",18450,1.3,1190,0.9,675,0.9,515,1,7299,1.8,7299,1.8,6663,1.9,6211,2,452,1.2,928,59.5,9.1,8.2,19.6,3.7,7299,3.2,24.3,22.9,4.7,0.4,0.1,0.8,43.4,0.2,5.6,1.1,9.9
"33",83,517,"5","510","GOLDEN HILL",9479,0.7,1190,0.9,743,1,447,0.8,1830,0.5,1830,0.5,1652,0.5,1407,0.5,245,0.6,7960,38.8,7,5.4,44.3,4.5,1830,1.6,17.8,36,1.4,0,0.3,0.7,42.3,0.7,1.4,1.1,2.2
"34",87,115,"1","110","UNIVERSITY CITY",25658,1.8,3679,2.8,2614,3.4,1065,2,4463,1.1,4463,1.1,4104,1.2,3493,1.1,611,1.6,49954,48.7,1.7,33,11.7,4.9,4463,11.3,9.6,17.5,8,0.3,0,0.5,52.7,0.9,1.1,1.1,1.6
"35",91,531,"5","530","BALBOA PARK",10228,0.7,799,0.6,335,0.4,464,0.9,4868,1.2,4868,1.2,3868,1.1,3616,1.2,252,0.6,4256,59.9,5.3,7.8,24.3,2.7,4868,1.2,27.5,22.7,1,0.2,0.5,0.6,46.2,0.2,4.8,1.3,11.5
"36",112,316,"3","310","QUALCOMM",876,0.1,36,0,19,0,17,0,451,0.1,451,0.1,414,0.1,399,0.1,15,0,1163,59.4,4.9,8.8,23.3,3.6,451,4.9,15.3,20.8,3.8,1.1,0,1.3,52.8,0.1,11.5,1.1,21.8
"37",125,723,"7","720","OTAY MESA WEST",21551,1.5,1655,1.3,885,1.1,770,1.4,6428,1.6,6428,1.6,5916,1.7,5377,1.8,539,1.4,32703,8.8,3.2,10,74.4,3.5,6428,3.6,7.4,67.9,0.7,0.3,0.1,0.9,19.1,0.3,3.6,1.1,6.7
"38",129,436,"4","430","SKYLINE",6140,0.4,487,0.4,204,0.3,283,0.5,2076,0.5,2076,0.5,1819,0.5,1628,0.5,191,0.5,8086,9.2,27.7,16.7,41.6,4.8,2076,7.3,47.3,30.9,0.8,0.3,0.2,1.6,11.5,0.3,3.7,1.1,8.9
"39",138,231,"2","230","SABRE SPRINGS",4087,0.3,331,0.3,216,0.3,115,0.2,1346,0.3,1346,0.3,1265,0.4,1181,0.4,84,0.2,9595,51.7,1.6,32.6,9.5,4.7,1346,12.1,7,15.8,10,0,0,2,53.1,0.3,3.8,1.1,5.9
"40",139,245,"2","240","RANCHO ENCANTADA",876,0.1,81,0.1,38,0,43,0.1,102,0,102,0,92,0,79,0,13,0,1198,61,5.1,17.8,13.2,2.9,102,11.8,17.6,20.6,3.9,0,0,2,44.1,0.9,1.1,1.1,2.4
"41",140,9,"0","0","SAN DIEGO",1,0,2,0,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,281,13.5,5.3,21.7,48,11.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",155,113,"1","110","BAY HO",7159,0.5,678,0.5,386,0.5,292,0.5,1514,0.4,1514,0.4,1407,0.4,1183,0.4,224,0.6,12721,64.5,0,6.2,24.4,4.9,1514,5.3,6.6,19.7,2.7,0.4,0,0.3,65.1,0.5,2.1,1.1,3.6
"43",161,111,"1","110","CLAIREMONT MESA EAST",16754,1.2,1928,1.5,1158,1.5,770,1.4,4467,1.1,4467,1.1,4176,1.2,3581,1.2,595,1.5,27069,48.8,5.7,19.2,22.3,4,4467,6.2,13.5,26.1,4.5,0.4,0.1,0.9,48.2,0.5,2.2,1.1,3.6
"44",164,827,"8","820","CHOLLAS CREEK",5263,0.4,488,0.4,253,0.3,235,0.4,1140,0.3,1140,0.3,1006,0.3,747,0.2,259,0.7,5778,10.7,21.2,26.5,41.1,0.5,1140,15.2,32.5,35.1,2.2,0.5,0,0.7,13.8,0.5,2.1,1.1,4
"45",165,618,"6","610","SUNSET CLIFFS",3513,0.2,192,0.1,124,0.2,68,0.1,929,0.2,929,0.2,723,0.2,675,0.2,48,0.1,2483,75.6,1.3,4.4,14.4,4.3,929,3.1,10.5,26.5,2.2,0.2,0.2,0.6,56.6,0.3,3.8,1.3,5.8
"46",167,433,"4","430","ENCANTO",6155,0.4,528,0.4,240,0.3,288,0.5,1324,0.3,1324,0.3,1199,0.3,1017,0.3,182,0.5,9779,13.6,18.2,4.6,60.7,2.9,1324,3.6,37.5,42.9,1.2,0.3,0.2,1.1,13.1,0.4,2.3,1.1,5
"47",174,525,"5","520","HORTON PLAZA",5101,0.4,316,0.2,169,0.2,147,0.3,924,0.2,924,0.2,809,0.2,730,0.2,79,0.2,1194,53.9,10.2,7.7,23.9,4.4,924,2.6,30.3,17.2,2.6,0.2,0,0.9,46.2,0.4,2.6,1.1,4.8
"48",176,123,"1","120","MISSION BAY",11481,0.8,923,0.7,544,0.7,379,0.7,4779,1.2,4779,1.2,3666,1.1,3430,1.1,236,0.6,3342,77.9,1.4,2.7,13,4.9,4779,2.7,12.4,23,3,0.2,0.1,0.9,57.7,0.3,4,1.3,6.7
"49",178,616,"6","610","LA PLAYA",1575,0.1,166,0.1,132,0.2,34,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2438,85.6,2.8,0.8,7.8,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",180,315,"3","310","MISSION VALLEY EAST",25030,1.8,3585,2.7,2553,3.3,1032,1.9,8205,2.1,8205,2.1,7334,2.1,6425,2.1,909,2.3,12476,58,5.1,8.7,23.1,5.1,8205,4.2,14.8,20.1,4.9,0.4,0.2,0.8,54.6,0.5,2,1.1,2.9
"51",182,829,"8","820","ISLENAIR",248,0,22,0,17,0,5,0,30,0,30,0,27,0,21,0,6,0,790,10.9,22.5,10.8,53.9,1.9,30,13.3,16.7,40,3.3,0,0,0,26.7,0.8,1.2,1.1,1.6
"52",183,445,"4","440","CHOLLAS VIEW",6337,0.4,465,0.4,244,0.3,221,0.4,1283,0.3,1283,0.3,1124,0.3,1006,0.3,118,0.3,4783,3.8,11.7,13,68.8,2.6,1283,7.9,30.5,46.8,1.6,0.5,0,1.5,11.3,0.4,2.4,1.1,4.6
"53",186,518,"5","510","SOUTH PARK",3717,0.3,410,0.3,272,0.4,138,0.3,604,0.2,604,0.2,562,0.2,472,0.2,90,0.2,5529,62.2,3.1,3.4,26.9,4.5,604,1.7,12.4,39.6,2.8,0.8,0.2,0.7,41.9,0.7,1.4,1.1,2.1
"54",197,512,"5","510","LOGAN HEIGHTS",31061,2.2,1957,1.5,888,1.1,1069,2,9651,2.4,9651,2.4,7946,2.3,7445,2.4,501,1.3,14649,6.1,5.1,1.1,86.9,0.9,9651,0.7,24.9,53.9,0.7,0.2,0.3,0.3,18.9,0.2,4.1,1.2,8.9
"55",207,626,"6","620","MISSION HILLS",5835,0.4,722,0.6,418,0.5,304,0.6,868,0.2,868,0.2,779,0.2,608,0.2,171,0.4,5815,76.7,1.2,4.9,13.4,3.8,868,1.8,15.1,19.8,2.3,0.1,0.2,0.5,60.1,0.9,1.1,1.1,1.9
"56",208,123,"1","120","MISSION BAY",11481,0.8,923,0.7,544,0.7,379,0.7,4779,1.2,4779,1.2,3666,1.1,3430,1.1,236,0.6,3342,77.9,1.4,2.7,13,4.9,4779,2.7,12.4,23,3,0.2,0.1,0.9,57.7,0.3,4,1.3,6.7
"57",209,826,"8","820","COLINA DEL SOL",14658,1,1329,1,653,0.8,676,1.3,5050,1.3,5050,1.3,4301,1.2,3680,1.2,621,1.6,10797,9.9,16.2,19.1,53.2,1.5,5050,12.6,38.1,33.8,1.9,0.4,0.1,0.8,12.4,0.3,3.2,1.2,6.6
"58",210,431,"4","430","EMERALD HILLS",3885,0.3,343,0.3,196,0.3,147,0.3,1560,0.4,1560,0.4,1342,0.4,1248,0.4,94,0.2,4357,8.6,35.7,5.7,45.1,4.9,1560,5.1,44.4,34.4,1.4,0.6,0.2,0.3,13.6,0.3,3.9,1.2,6.8
"59",211,446,"4","440","LINCOLN PARK",16441,1.2,1206,0.9,601,0.8,605,1.1,5359,1.3,5359,1.3,4560,1.3,4319,1.4,241,0.6,10390,5.6,21.5,10.1,60.4,2.4,5359,2.7,53.4,35.3,0.7,0.5,0.1,0.5,6.7,0.3,3.8,1.2,7.6
"60",224,122,"1","120","PACIFIC BEACH",60700,4.3,5590,4.3,3509,4.5,2081,3.9,24592,6.2,24592,6.2,20634,6,18661,6.1,1973,5.1,41238,73.9,1.4,4,16.4,4.4,24592,2.7,8.8,15.9,3.2,0.3,0.1,0.7,68.4,0.3,3.7,1.2,5.9
"61",227,613,"6","610","POINT LOMA HEIGHTS",16091,1.1,1883,1.4,1197,1.5,686,1.3,2956,0.7,2956,0.7,2707,0.8,2240,0.7,467,1.2,19542,73.4,3.5,5.1,12.8,5.2,2956,2.1,10.3,15.1,1.8,0.4,0.2,0.3,69.8,0.7,1.4,1.1,2.3
"62",254,9,"0","0","SAN DIEGO",1,0,2,0,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,281,13.5,5.3,21.7,48,11.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",269,811,"8","810","NORMAL HEIGHTS",8629,0.6,890,0.7,534,0.7,356,0.7,1765,0.4,1765,0.4,1636,0.5,1285,0.4,351,0.9,9810,43.5,10.9,4.5,37.2,3.9,1765,3.9,23.1,33.8,2.8,0.3,0.2,0.3,35.6,0.5,1.8,1.1,3.1
"64",276,232,"2","230","CARMEL MOUNTAIN",7078,0.5,790,0.6,591,0.8,199,0.4,1756,0.4,1756,0.4,1692,0.5,1556,0.5,136,0.3,11531,49,1.8,35.5,10.9,2.8,1756,11,7.1,17.5,9.9,0.2,0.1,1.1,53.1,0.5,2.1,1,2.9
"65",284,831,"8","830","TERALTA EAST",10690,0.8,830,0.6,410,0.5,420,0.8,3872,1,3872,1,3371,1,2967,1,404,1,7297,9.3,5.1,13.6,71.1,0.8,3872,11.1,30.3,39.8,2.5,0.4,0.3,1.1,14.5,0.2,4.1,1.1,8.2
"66",302,437,"4","430","BAY TERRACES",15534,1.1,1364,1,752,1,612,1.1,2867,0.7,2867,0.7,2591,0.8,2231,0.7,360,0.9,31869,9.9,15.9,39.1,29.9,5.2,2867,11.4,34.8,33.9,1.7,0.6,0.3,2.7,14.6,0.5,1.9,1.1,3.4
"67",313,837,"8","830","FAIRMOUNT PARK",4086,0.3,332,0.3,233,0.3,99,0.2,668,0.2,668,0.2,599,0.2,498,0.2,101,0.3,4387,25.6,14.4,10.1,47.3,2.6,668,6.6,23.2,42.7,1.6,0.1,0.1,0.3,25.3,0.6,1.8,1.1,2.6
